index,hma_diff
2655,0.516434618
2656,0.553127785
2657,0.625115683
2658,0.672666796
2659,0.682417434
2660,0.682408043
2661,0.669310719
2662,0.639983676
2663,0.613042001
2664,0.527069737
2665,0.387966274
2666,0.307668009
2667,0.334263917
2668,0.376386057
2669,0.434649981
2670,0.506105141
2671,0.555958808
2672,0.558436381
2673,0.617178402
2674,0.656840899
2675,0.633198954
2676,0.565175855
2677,0.558403084
2678,0.583329065
2679,0.604211702
2680,0.645585107
2681,0.672543857
2682,0.642968374
2683,0.604567714
2684,0.61434994
2685,0.589663863
2686,0.560465736
2687,0.53930307
2688,0.603104393
2689,0.541993225
2690,0.544527144
2691,0.532027443
2692,0.528138628
2693,0.461093922
2694,0.531610815
2695,0.631827837
2696,0.806799749
2697,0.823370966
2698,0.773490832
2699,0.673525665
2700,0.611322556
2701,0.572570152
2702,0.591437094
2703,0.596260761
2704,0.611247426
2705,0.605948222
2706,0.58245056
2707,0.57787021
2708,0.567309367
2709,0.56218262
2710,0.542451686
2711,0.546425022
2712,0.573459756
2713,0.540050952
2714,0.494883498
2715,0.372930092
2716,0.401650975
2717,0.415339091
2718,0.62097672
2719,0.765366582
2720,0.68214765
2721,0.557316265
2722,0.515037889
2723,0.470624294
2724,0.483401462
2725,0.564336622
2726,0.634325045
2727,0.55526642
2728,0.486288833
2729,0.483255472
2730,0.489337561
2731,0.555457659
2732,0.599549393
2733,0.593607318
2734,0.57072606
2735,0.589610931
2736,0.525743016
2737,0.451150338
2738,0.407087632
2739,0.425836757
2740,0.442582139
2741,0.401078965
2742,0.41074252
2743,0.468001585
2744,0.389354465
2745,0.468299542
2746,0.584762505
2747,0.62504909
2748,0.621755337
2749,0.597902516
2750,0.606849778
2751,0.645825863
2752,0.653833151
2753,0.642647365
2754,0.575991968
2755,0.505819989
2756,0.370562653
2757,0.374628193
2758,0.410527376
2759,0.507828855
2760,0.526140861
2761,0.378952419
2762,0.438262182
2763,0.548934183
2764,0.655694318
2765,0.819734861
2766,0.896643752
2767,0.859748247
2768,0.744889474
2769,0.698649715
2770,0.636102545
2771,0.581031633
2772,0.60700516
2773,0.516679644
2774,0.476861765
2775,0.465465958
2776,0.499660209
2777,0.5705186
2778,0.674347823
2779,0.634603366
2780,0.638330823
2781,0.65448712
2782,0.61485109
2783,0.619231662
2784,0.64127881
2785,0.712305389
2786,0.755915609
2787,0.843285455
2788,0.745896895
2789,0.666077582
2790,0.526174157
2791,0.470254621
2792,0.694578198
2793,0.85234712
2794,0.849428161
2795,0.746473174
2796,0.648627005
2797,0.550447022
2798,0.559685412
2799,0.742659488
2800,0.816622101
2801,0.881315589
2802,0.773688048
2803,0.651910514
2804,0.53281289
2805,0.456668101
2806,0.466968551
2807,0.45958706
2808,0.495613451
2809,0.539032432
2810,0.64502761
2811,0.606580848
2812,0.573154115
2813,0.564969248
2814,0.654523831
2815,0.699283195
2816,0.544766193
2817,0.496963224
2818,0.443324898
2819,0.480637031
2820,0.456217323
2821,0.483202539
2822,0.529033354
2823,0.589057703
2824,0.641517859
2825,0.680874714
2826,0.69500934
2827,0.704187114
2828,0.682013612
2829,0.627739245
2830,0.590550905
2831,0.557207839
2832,0.494989362
2833,0.418931656
2834,0.462370273
2835,0.593233377
2836,0.638419613
2837,0.665684005
2838,0.58597824
2839,0.51286169
